provider,instance_id,instance_family,instance_type,vcpus,memory_gib,region,zone,price_per_hour,spot_price_per_hour,gpu_model,gpu_count
AWS,r7g.8xlarge,r7g,r7g.8xlarge,32,256.0,us-east-1,,1.7136,0.4073399999999999,,
AWS,c5d.large,c5d,c5d.large,2,4.0,us-east-1,,0.096,0.037559999999999996,,
AWS,g5g.4xlarge,g5g,g5g.4xlarge,16,32.0,us-east-1,,0.828,0.26205,T4g,1.0
AWS,x2gd.xlarge,x2gd,x2gd.xlarge,4,64.0,us-east-1,,0.334,0.1123,,
AWS,i2.2xlarge,i2,i2.2xlarge,8,61.0,us-east-1,,1.705,0.38188,,
AWS,vt1.24xlarge,vt1,vt1.24xlarge,96,192.0,us-east-1,,5.2,1.7453,,
AWS,c6in.4xlarge,c6in,c6in.4xlarge,16,32.0,us-east-1,,0.9072,0.40312000000000003,,
AWS,c7gd.xlarge,c7gd,c7gd.xlarge,4,8.0,us-east-1,,0.1814,0.08566,,
AWS,m5a.large,m5a,m5a.large,2,8.0,us-east-1,,0.086,0.03476,,
AWS,c5n.large,c5n,c5n.large,2,5.25,us-east-1,,0.108,0.04307999999999999,,
AWS,c7a.24xlarge,c7a,c7a.24xlarge,96,192.0,us-east-1,,4.92672,1.54704,,
AWS,m5d.24xlarge,m5d,m5d.24xlarge,96,384.0,us-east-1,,5.424,2.3922,,
AWS,r5.24xlarge,r5,r5.24xlarge,96,768.0,us-east-1,,6.048,1.71634,,
AWS,c5a.xlarge,c5a,c5a.xlarge,4,8.0,us-east-1,,0.154,0.07582,,
AWS,m6a.24xlarge,m6a,m6a.24xlarge,96,384.0,us-east-1,,4.1472,1.23298,,
AWS,i3en.xlarge,i3en,i3en.xlarge,4,32.0,us-east-1,,0.452,0.1381,,
AWS,im4gn.4xlarge,im4gn,im4gn.4xlarge,16,64.0,us-east-1,,1.45517,0.207425,,
AWS,m7g.metal,m7g,m7g.metal,64,256.0,us-east-1,,2.6112,0.56124,,
AWS,c7g.2xlarge,c7g,c7g.2xlarge,8,16.0,us-east-1,,0.29,0.0831,,
AWS,x2iedn.metal,x2iedn,x2iedn.metal,128,4096.0,us-east-1,,26.676,4.21284,,
AWS,m7a.metal-48xl,m7a,m7a.metal-48xl,192,768.0,us-east-1,,11.12832,2.44028,,
AWS,i2.8xlarge,i2,i2.8xlarge,32,244.0,us-east-1,,6.82,2.48218,,
AWS,c5n.2xlarge,c5n,c5n.2xlarge,8,21.0,us-east-1,,0.432,0.21796,,
AWS,r5.large,r5,r5.large,2,16.0,us-east-1,,0.126,0.04832,,
AWS,m5dn.large,m5dn,m5dn.large,2,8.0,us-east-1,,0.136,0.0493,,
AWS,r6gd.2xlarge,r6gd,r6gd.2xlarge,8,64.0,us-east-1,,0.4608,0.23596,,
AWS,t3.medium,t3,t3.medium,2,4.0,us-east-1,,0.0416,0.018359999999999998,,
AWS,u-12tb1.112xlarge,u-12tb1,u-12tb1.112xlarge,448,12288.0,us-east-1,,109.2,,,
AWS,c7i.metal-48xl,c7i,c7i.metal-48xl,192,384.0,us-east-1,,8.568,2.29756,,
AWS,m7i.4xlarge,m7i,m7i.4xlarge,16,64.0,us-east-1,,0.8064,0.27432,,
AWS,m5n.xlarge,m5n,m5n.xlarge,4,16.0,us-east-1,,0.238,0.11168,,
AWS,m5ad.xlarge,m5ad,m5ad.xlarge,4,16.0,us-east-1,,0.206,0.12088000000000002,,
