provider,instance_id,instance_family,instance_type,vcpus,memory_gib,region,zone,price_per_hour,spot_price_per_hour,gpu_model,gpu_count
GCP,c4a-highmem-64,c4a,c4a-highmem-64,64.0,512.0,us-central1,us-central1-c,3.77216,1.50656,,
GCP,c4a-highmem-64-lssd,c4a,c4a-highmem-64-lssd,64.0,512.0,us-central1,us-central1-c,3.77216,1.50656,,
GCP,c4a-highmem-72,c4a,c4a-highmem-72,72.0,576.0,us-central1,us-central1-c,4.2436799999999995,1.69488,,
GCP,c4a-highmem-72-lssd,c4a,c4a-highmem-72-lssd,72.0,576.0,us-central1,us-central1-c,4.2436799999999995,1.69488,,
GCP,c4a-highmem-8,c4a,c4a-highmem-8,8.0,64.0,us-central1,us-central1-c,0.47152,0.18832,,
GCP,c4a-highmem-8-lssd,c4a,c4a-highmem-8-lssd,8.0,64.0,us-central1,us-central1-c,0.47152,0.18832,,
GCP,c4a-standard-1,c4a,c4a-standard-1,1.0,4.0,us-central1,us-central1-c,0.044899999999999995,0.01794,,
GCP,c4a-standard-16,c4a,c4a-standard-16,16.0,64.0,us-central1,us-central1-c,0.7183999999999999,0.28704,,
GCP,c4a-standard-16-lssd,c4a,c4a-standard-16-lssd,16.0,64.0,us-central1,us-central1-c,0.7183999999999999,0.28704,,
GCP,c4a-standard-2,c4a,c4a-standard-2,2.0,8.0,us-central1,us-central1-c,0.08979999999999999,0.03588,,
GCP,c4a-standard-32,c4a,c4a-standard-32,32.0,128.0,us-central1,us-central1-c,1.4367999999999999,0.57408,,
GCP,c4a-standard-32-lssd,c4a,c4a-standard-32-lssd,32.0,128.0,us-central1,us-central1-c,1.4367999999999999,0.57408,,
GCP,c4a-standard-4,c4a,c4a-standard-4,4.0,16.0,us-central1,us-central1-c,0.17959999999999998,0.07176,,
GCP,c4a-standard-4-lssd,c4a,c4a-standard-4-lssd,4.0,16.0,us-central1,us-central1-c,0.17959999999999998,0.07176,,
GCP,c4a-standard-48,c4a,c4a-standard-48,48.0,192.0,us-central1,us-central1-c,2.1552,0.8611199999999999,,
GCP,c4a-standard-48-lssd,c4a,c4a-standard-48-lssd,48.0,192.0,us-central1,us-central1-c,2.1552,0.8611199999999999,,
GCP,c4a-standard-64,c4a,c4a-standard-64,64.0,256.0,us-central1,us-central1-c,2.8735999999999997,1.14816,,
GCP,c4a-standard-64-lssd,c4a,c4a-standard-64-lssd,64.0,256.0,us-central1,us-central1-c,2.8735999999999997,1.14816,,
GCP,c4a-standard-72,c4a,c4a-standard-72,72.0,288.0,us-central1,us-central1-c,3.2328,1.29168,,
GCP,c4a-standard-72-lssd,c4a,c4a-standard-72-lssd,72.0,288.0,us-central1,us-central1-c,3.2328,1.29168,,
GCP,c4a-standard-8,c4a,c4a-standard-8,8.0,32.0,us-central1,us-central1-c,0.35919999999999996,0.14352,,
GCP,c4a-standard-8-lssd,c4a,c4a-standard-8-lssd,8.0,32.0,us-central1,us-central1-c,0.35919999999999996,0.14352,,
GCP,e2-highcpu-16,e2,e2-highcpu-16,16.0,16.0,us-central1,us-central1-c,0.39576192,0.158224,,
GCP,e2-highcpu-2,e2,e2-highcpu-2,2.0,2.0,us-central1,us-central1-c,0.04947024,0.019778,,
GCP,e2-highcpu-32,e2,e2-highcpu-32,32.0,32.0,us-central1,us-central1-c,0.79152384,0.316448,,
GCP,e2-highcpu-4,e2,e2-highcpu-4,4.0,4.0,us-central1,us-central1-c,0.09894048,0.039556,,
GCP,e2-highcpu-8,e2,e2-highcpu-8,8.0,8.0,us-central1,us-central1-c,0.19788096,0.079112,,
GCP,e2-highmem-16,e2,e2-highmem-16,16.0,128.0,us-central1,us-central1-c,0.7231972799999999,0.28915199999999996,,
GCP,e2-highmem-2,e2,e2-highmem-2,2.0,16.0,us-central1,us-central1-c,0.09039965999999999,0.036143999999999996,,
GCP,e2-highmem-4,e2,e2-highmem-4,4.0,32.0,us-central1,us-central1-c,0.18079931999999999,0.07228799999999999,,
GCP,e2-highmem-8,e2,e2-highmem-8,8.0,64.0,us-central1,us-central1-c,0.36159863999999997,0.14457599999999998,,
GCP,e2-medium,e2,e2-medium,2.0,4.0,us-central1,us-central1-c,0.0553173,0.022116,,
GCP,e2-micro,e2,e2-micro,2.0,1.0,us-central1,us-central1-c,0.04654671,0.018609,,
GCP,e2-small,e2,e2-small,2.0,2.0,us-central1,us-central1-c,0.04947024,0.019778,,
GCP,e2-standard-16,e2,e2-standard-16,16.0,64.0,us-central1,us-central1-c,0.53609136,0.214336,,
GCP,e2-standard-2,e2,e2-standard-2,2.0,8.0,us-central1,us-central1-c,0.06701142,0.026792,,
GCP,e2-standard-32,e2,e2-standard-32,32.0,128.0,us-central1,us-central1-c,1.07218272,0.428672,,
GCP,e2-standard-4,e2,e2-standard-4,4.0,16.0,us-central1,us-central1-c,0.13402284,0.053584,,
GCP,e2-standard-8,e2,e2-standard-8,8.0,32.0,us-central1,us-central1-c,0.26804568,0.107168,,
GCP,g2-standard-12,g2,g2-standard-12,12.0,48.0,us-central1,us-central1-c,0.440376048,0.17049599999999998,,
GCP,g2-standard-16,g2,g2-standard-16,16.0,64.0,us-central1,us-central1-c,0.587168064,0.22732799999999997,,
GCP,g2-standard-24,g2,g2-standard-24,24.0,96.0,us-central1,us-central1-c,0.880752096,0.34099199999999996,,
GCP,g2-standard-32,g2,g2-standard-32,32.0,128.0,us-central1,us-central1-c,1.174336128,0.45465599999999995,,
GCP,g2-standard-4,g2,g2-standard-4,4.0,16.0,us-central1,us-central1-c,0.146792016,0.056831999999999994,,
GCP,g2-standard-48,g2,g2-standard-48,48.0,192.0,us-central1,us-central1-c,1.761504192,0.6819839999999999,,
GCP,g2-standard-8,g2,g2-standard-8,8.0,32.0,us-central1,us-central1-c,0.293584032,0.11366399999999999,,
GCP,g2-standard-96,g2,g2-standard-96,96.0,384.0,us-central1,us-central1-c,3.523008384,1.3639679999999998,,
GCP,m3-megamem-128,m3,m3-megamem-128,128.0,1952.0,us-central1,us-central1-c,14.409600000000001,5.46544,,
GCP,m3-megamem-64,m3,m3-megamem-64,64.0,976.0,us-central1,us-central1-c,7.2048000000000005,2.73272,,
GCP,m3-ultramem-128,m3,m3-ultramem-128,128.0,3904.0,us-central1,us-central1-c,24.364800000000002,9.242560000000001,,
GCP,m3-ultramem-32,m3,m3-ultramem-32,32.0,976.0,us-central1,us-central1-c,6.091200000000001,2.3106400000000002,,
GCP,m3-ultramem-64,m3,m3-ultramem-64,64.0,1952.0,us-central1,us-central1-c,12.182400000000001,4.6212800000000005,,
GCP,n2-highcpu-16,n2,n2-highcpu-16,16.0,16.0,us-central1,us-central1-c,0.573568,0.16780799999999998,,
GCP,n2-highcpu-2,n2,n2-highcpu-2,2.0,2.0,us-central1,us-central1-c,0.071696,0.020975999999999998,,
GCP,n2-highcpu-32,n2,n2-highcpu-32,32.0,32.0,us-central1,us-central1-c,1.147136,0.33561599999999997,,
GCP,n2-highcpu-4,n2,n2-highcpu-4,4.0,4.0,us-central1,us-central1-c,0.143392,0.041951999999999996,,
GCP,n2-highcpu-48,n2,n2-highcpu-48,48.0,48.0,us-central1,us-central1-c,1.720704,0.503424,,
GCP,n2-highcpu-64,n2,n2-highcpu-64,64.0,64.0,us-central1,us-central1-c,2.294272,0.6712319999999999,,
GCP,n2-highcpu-8,n2,n2-highcpu-8,8.0,8.0,us-central1,us-central1-c,0.286784,0.08390399999999999,,
GCP,n2-highcpu-80,n2,n2-highcpu-80,80.0,80.0,us-central1,us-central1-c,2.86784,0.8390399999999999,,
GCP,n2-highcpu-96,n2,n2-highcpu-96,96.0,96.0,us-central1,us-central1-c,3.441408,1.006848,,
GCP,n2-highmem-128,n2,n2-highmem-128,128.0,864.0,us-central1,us-central1-c,7.706976000000001,1.878272,,
GCP,n2-highmem-16,n2,n2-highmem-16,16.0,128.0,us-central1,us-central1-c,1.0481120000000002,0.249344,,
GCP,n2-highmem-2,n2,n2-highmem-2,2.0,16.0,us-central1,us-central1-c,0.13101400000000002,0.031168,,
GCP,n2-highmem-32,n2,n2-highmem-32,32.0,256.0,us-central1,us-central1-c,2.0962240000000003,0.498688,,
GCP,n2-highmem-4,n2,n2-highmem-4,4.0,32.0,us-central1,us-central1-c,0.26202800000000004,0.062336,,
GCP,n2-highmem-48,n2,n2-highmem-48,48.0,384.0,us-central1,us-central1-c,3.144336,0.748032,,
GCP,n2-highmem-64,n2,n2-highmem-64,64.0,512.0,us-central1,us-central1-c,4.192448000000001,0.997376,,
GCP,n2-highmem-8,n2,n2-highmem-8,8.0,64.0,us-central1,us-central1-c,0.5240560000000001,0.124672,,
GCP,n2-highmem-80,n2,n2-highmem-80,80.0,640.0,us-central1,us-central1-c,5.24056,1.2467199999999998,,
GCP,n2-highmem-96,n2,n2-highmem-96,96.0,768.0,us-central1,us-central1-c,6.288672,1.496064,,
GCP,n2-standard-128,n2,n2-standard-128,128.0,512.0,us-central1,us-central1-c,6.215552000000001,1.622016,,
